 N OF CLASSES,LOG_LIKELIHOOD,G_SQUARED,AIC,BIC,CAIC,ABIC,ENTROPY
1,-372017.293,264558.4639,264654.4639,265043.5391,265091.5391,264890.9965,1
2,-369642.9957,259809.8693,260003.8693,260790.1256,260887.1256,260481.8623,0.445955616
3,-368727.5952,257979.0683,258271.0683,259454.5055,259600.5055,258990.5216,0.585828111
4,-366000.2987,252524.4751,252914.4751,254495.0933,254690.0933,253875.3888,0.67693015
5,-364998.3023,250520.4825,251008.4825,252986.2816,253230.2816,252210.8564,0.720780262
6,-363641.7585,247807.3947,248393.3947,250768.3749,251061.3749,249837.229,0.701241468
7,-362787.7069,246099.2917,246783.2917,249555.4528,249897.4528,248468.5863,0.732843141
8,-362217.5984,244959.0747,245741.0747,248910.4168,249301.4168,247667.8297,0.739100667
9,-362177.2543,244878.3864,245758.3864,249324.9095,249764.9095,247926.6017,0.740787409
10,-361580.8119,243685.5017,244663.5017,248627.2058,249116.2058,247073.1774,0.696270112
