,Low,Moderate,P value,High,P value
Crude model,-- ,"-3.00 (-5.49, -0.52)",0.018,"-0.90 (-2.84, 1.04)",0.364
Model 1,--,"1.06 (-1.50, 3.64)",0.415,"-1.55 (-3.42, 0.31)",0.103
Crude model,--,"-2.51 (-5.00, -0.21)",0.048,"-0.51 (-2.47, 1.44)",0.606
Model 1,--,"1.42 (-1.17, 4.01)",0.283,"-1.29 (-3.18, 0.60)",0.181
Crude model,--,"-1.28 (-3.26, 0.70)",0.206,"-2.81 (-4.50, -1.12)",0.001
Live with partner,--,"0.28 (-2.85, 3.41)",0.861,"-4.71 (-7.00, -2.43)",< 0.001
Live alone,--,"3.17 (0.05, 6.30)",0.047,"0.73 (-1.84, 3.30)",0.577
Crude model,-- ,"-0.91 (-2.88, 1.07)",0.368,"-2.41 (-4.06, -0.76)",0.004
Live with partner,-- ,"1.11 (-2.02, 4.23)",0.487,"-3.74 (-5.97, -1.51)",0.001
Live alone,--,"3.08 (-0.09, 6.25)",0.057,"0.16 (-2.36, 2.69)",0.899
