"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5","ESTLC6"
"GAMMA",1,,,0.222954029362877,0.246123231555677,0.0393622282448263,0.223135829721798,0.159786419966943,0.10863826114788
"RHO",1,"H0",1,0.980283175552307,0.983811164279002,0.75474684024688,0.989650669878109,0.980298994259245,0.984637540303688
"RHO",1,"H1",1,0.992427641356326,0.993093009426776,0.850465587661909,0.99622905112794,0.994161285944982,0.996429806976402
"RHO",1,"H2",1,0.995130710500792,0.995132191915992,0.915483844514849,0.996452540265984,0.99591622771769,0.997261637924691
"RHO",1,"H3",1,0.99519334405245,0.994684361269309,0.941855630581533,0.997417470907791,0.994811542552448,0.994250936504495
"RHO",1,"H4",1,0.994047738183095,0.994751678128057,0.962863656830754,0.992372232974098,0.993179375743258,0.989945945120135
"RHO",1,"H5",1,0.988282959192222,0.99147559663649,0.970117215351137,0.98243389194951,0.983125573794516,0.988007012647698
"RHO",1,"H6",1,0.895021314255522,0.886937491869156,0.873829742134659,0.837433203511135,0.875279594000259,0.855230146667115
"RHO",1,"H7",1,0.727026858319211,0.698037959461605,0.784948242916967,0.627211463993239,0.672420885222436,0.635659096341205
"RHO",1,"H8",1,0.612253804981729,0.655238481644342,0.689591408139461,0.58290872345472,0.614985384974148,0.690932167553095
"RHO",1,"H9",1,0.595425035050885,0.674775260439731,0.623473608657613,0.672201675459354,0.561227796004086,0.925667142598245
"RHO",1,"H10",1,0.845529939517492,0.663517288625164,0.583170550904458,0.62278576524519,0.758695059975674,1.96311639879983e-071
"RHO",1,"H11",1,0.579584716166131,0.753475173601796,0.667697102532478,0.840120346161597,0.586534213343069,0.965245107480529
"RHO",1,"H12",1,0.888594214430061,0.64883987078867,0.606646442203875,5.14235982553881e-043,0.802812379082644,0.901372046582904
"RHO",1,"H13",1,0.332547006887181,0.554454440581087,0.561765659253463,0.894194681855372,0.317317927356579,0.261282399208203
"RHO",1,"H14",1,0.746116237956256,0.764261414177917,0.561330801509723,0.737528032565087,0.71355320744182,0.804722706844745
"RHO",1,"H15",1,0.69653974751621,0.702292933050479,0.661490567343375,0.651051121327129,0.692838757733732,0.644547343531815
"RHO",1,"H16",1,0.734133240530409,0.732518447489685,0.610242530139063,0.705321766331311,0.616293316293103,0.723130254443652
"RHO",1,"H17",1,0.666503055247969,0.736370006473142,0.59338345657721,0.618618979291075,0.779668429419714,0.721901545664492
"RHO",1,"H18",1,0.458072762291808,0.643517784360993,0.578869978540985,0.569551395704401,0.780010822025014,0.511340416355062
"RHO",1,"H19",1,0.999092767810265,0.688720590028257,0.542857833264688,0.675113433130017,2.5168043005297e-071,0.666943109301111
"RHO",1,"H20",1,0.586544608059076,0.687767044057896,0.364892211255957,0.605503871964053,0.717323339397202,0.653504055435615
"RHO",1,"H21",1,0.650545187868712,0.714765203823885,0.426410807579309,0.660931026960034,0.646744386307847,0.628683764431095
"RHO",1,"H22",1,0.769431154122342,0.807116108525711,0.29654112884316,0.792587201202,0.750356537571681,0.761076739616591
"RHO",1,"H23",1,0.927695273671977,0.941363285806051,0.590456869357187,0.95435675209636,0.926546809689383,0.938114959987431
"RHO",1,"H0",2,0.000672336692213835,0.0129351475593364,0.0969270840856797,2.05556654146326e-138,0.00149493608982139,0.00192778501775571
"RHO",1,"H1",2,0,0.00561623686704247,0.0384656668934781,0.000252527419680897,0,0.000266315953670261
"RHO",1,"H2",2,0.000146220600658805,0.00329218517536169,0.029739927413847,0,0,0.00026436219566734
"RHO",1,"H3",2,0.000154433944748244,0.00403375771559104,0.0120083920296007,5.92642473170956e-293,0.000326605673061768,0
"RHO",1,"H4",2,0,0.00424330455304196,0.007353686919955,0.000321694547540057,0.000916739118893684,0
"RHO",1,"H5",2,0.000210526091206392,0.0061280467507061,0.00434199235359876,0.000907476595752355,0.000966820004212494,0
"RHO",1,"H6",2,0.00962278117852848,0.0901000277583242,0.022579670013888,0.0158799125445596,0.0191932606802916,0.0135152233921766
"RHO",1,"H7",2,0.0147681421232317,0.235643865898394,0.0170806249115233,0.0147439799658308,0.0122124340777341,0.0194197860832348
"RHO",1,"H8",2,0.020852585003165,0.270981476507144,0.0474993758746761,0.026841102053315,0.0173528643515033,0.0199226868735947
"RHO",1,"H9",2,0.0121208872494281,0.253965748562403,0.0519261353278027,0.0113535105956783,0.0214466404891751,0.00357732670592765
"RHO",1,"H10",2,0.0099963239485558,0.262038565808959,0.0525648378133022,0.0137336785851618,0.0136400265294408,0.05127771850071
"RHO",1,"H11",2,0.0214212306173647,0.190903935415192,0.0324517088891019,0.00836642899587123,0.0257257245934254,0.000787456826131194
"RHO",1,"H12",2,0.00948025242269586,0.306798776680219,0.0326051929827137,0.0856436251778144,0.0179117702687696,0.0147247610946741
"RHO",1,"H13",2,0.0555864299161021,0.393032083019649,0.0613824858610277,0.00617505727953725,0.0622094448462454,0.0691688358813745
"RHO",1,"H14",2,0.0201128834754366,0.189011930667299,0.0661272423124368,0.0141071833312823,0.0195574065508853,0.0116372477399793
"RHO",1,"H15",2,0.0129198126156139,0.229127326370544,0.0518228022734994,0.020047369028549,0.0148706844928958,0.0267526265694155
"RHO",1,"H16",2,0.0179929354447195,0.211501522382698,0.0733871209124217,0.0243559080957854,0.0269848578037439,0.0244244401713749
"RHO",1,"H17",2,0.0348842225145873,0.23245081254342,0.0886153294166038,0.0484747411085862,0.0308521859916856,0.0387089567545753
"RHO",1,"H18",2,0.0669603416123538,0.321633770278188,0.125281914747763,0.0536986686837026,0.0390540257734942,0.0723761684219588
"RHO",1,"H19",2,9.22871923373167e-036,0.268644975710481,0.182193571247477,0.0517710809949321,0.147987584148378,0.063857125883045
"RHO",1,"H20",2,0.0544496737329908,0.261457827089037,0.305742471413931,0.0602614456643127,0.0426910738765098,0.0569272154584737
"RHO",1,"H21",2,0.0457795109399767,0.232743535029595,0.346646515993778,0.0503573640534797,0.0510232521174475,0.0518310923912874
"RHO",1,"H22",2,0.0287810211788363,0.15281327954557,0.381534806154359,0.0210691964318235,0.0255830147023038,0.0324077408411546
"RHO",1,"H23",2,0.00584561451559353,0.0480215135850767,0.21384487783201,0.00210875896240225,0.00636678504729393,0.00308694339129298
"RHO",1,"H0",3,0.0190444877554792,0.00325368816166206,0.14832607566744,0.0103493301218909,0.0182060696509331,0.0134346746785564
"RHO",1,"H1",3,0.00757235864367425,0.00129075370618132,0.111068745444613,0.00351842145237917,0.00583871405501781,0.00330387706992752
"RHO",1,"H2",3,0.00472306889854917,0.00157562290864633,0.0547762280713037,0.00354745973401575,0.00408377228231002,0.00247399987964129
"RHO",1,"H3",3,0.00465222200280133,0.00128188101510041,0.0461359773888659,0.00258252909220925,0.00486185177449023,0.00574906349550448
"RHO",1,"H4",3,0.00595226181690458,0.00100501731890118,0.0297826562492906,0.0073060724783623,0.00590388513784874,0.0100540548798652
"RHO",1,"H5",3,0.0115065147165713,0.00239635661280434,0.0255407922952644,0.0166586314547379,0.0159076062012718,0.0119929873523019
"RHO",1,"H6",3,0.0953559045659494,0.0229624803725201,0.103590587851453,0.146686883944305,0.10552714531945,0.131254629940709
"RHO",1,"H7",3,0.258204999557557,0.0663181746400016,0.19797113217151,0.35804455604093,0.315366680699829,0.344921117575561
"RHO",1,"H8",3,0.366893610015106,0.0737800418485139,0.262909215985863,0.390250174491965,0.367661750674348,0.28914514557331
"RHO",1,"H9",3,0.392454077699687,0.0712589909978664,0.324600256014585,0.316444813944967,0.417325563506739,0.0707555306958271
"RHO",1,"H10",3,0.144473736533952,0.0744441455658766,0.364264611282239,0.363480556169648,0.227664913494885,0.94872228149929
"RHO",1,"H11",3,0.398994053216505,0.0556208909830117,0.29985118857842,0.151513224842531,0.387740062063506,0.0339674356933397
"RHO",1,"H12",3,0.101925533147243,0.0443613525311107,0.360748364813411,0.914356374822186,0.179275850648586,0.0839031923224224
"RHO",1,"H13",3,0.611866563196717,0.0525134763992641,0.376851854885509,0.0996302608650912,0.620472627797176,0.669548764910423
"RHO",1,"H14",3,0.233770878568307,0.046726655154784,0.37254195617784,0.248364784103631,0.266889386007295,0.183640045415275
"RHO",1,"H15",3,0.290540439868176,0.0685797405789769,0.286686630383126,0.328901509644322,0.292290557773372,0.328700029898769
"RHO",1,"H16",3,0.247873824024872,0.0559800301276173,0.316370348948515,0.270322325572904,0.356721825903153,0.252445305384973
"RHO",1,"H17",3,0.298612722237444,0.0311791809834375,0.318001214006186,0.332906279600339,0.1894793845886,0.239389497580933
"RHO",1,"H18",3,0.474966896095838,0.034848445360819,0.295848106711252,0.376749935611897,0.180935152201491,0.416283415222979
"RHO",1,"H19",3,0.000907232189734604,0.0426344342612617,0.274948595487835,0.273115485875051,0.852012415851622,0.269199764815843
"RHO",1,"H20",3,0.359005718207933,0.0507751288530678,0.329365317330112,0.334234682371634,0.239985586726289,0.289568729105911
"RHO",1,"H21",3,0.303675301191311,0.0524912611465194,0.226942676426913,0.288711608986487,0.302232361574706,0.319485143177618
"RHO",1,"H22",3,0.201787824698822,0.0400706119287195,0.321924065002481,0.186343602366177,0.224060447726015,0.206515519542255
"RHO",1,"H23",3,0.0664591118124296,0.0106152006088723,0.195698252810803,0.0435344889412376,0.0670864052633231,0.0587980966212759
