Sources,CB,Slot,gram,Pct
Alc,1,10 pm – 6 am,,0.3046875
Alc,1,12 noon – 2 pm,,0.020528943961531
Alc,1,2 pm – 5 pm,,0.062158182583088
Alc,1,5 pm – 8 pm,,0.072275186807524
Alc,1,6 am – 9 am,,0.004913026158545
Alc,1,8 pm – 10 pm,,0.191161259990597
Alc,1,9 am – 12 am,,0.009244090802715
Carbohydrate,1,10 pm – 6 am,,0.333333333333333
Carbohydrate,1,12 noon – 2 pm,,0.420196042167561
Carbohydrate,1,2 pm – 5 pm,,0.420698359276399
Carbohydrate,1,5 pm – 8 pm,,0.384093446706175
Carbohydrate,1,6 am – 9 am,,0.488646926039039
Carbohydrate,1,8 pm – 10 pm,,0.350540667606958
Carbohydrate,1,9 am – 12 am,,0.46992745143927
Fat,1,10 pm – 6 am,,0.245265151515152
Fat,1,12 noon – 2 pm,,0.383206953948585
Fat,1,2 pm – 5 pm,,0.358014303744215
Fat,1,5 pm – 8 pm,,0.34797732543159
Fat,1,6 am – 9 am,,0.343911831098128
Fat,1,8 pm – 10 pm,,0.309637987776211
Fat,1,9 am – 12 am,,0.363678914111865
Protein,1,10 pm – 6 am,,0.116714015151515
Protein,1,12 noon – 2 pm,,0.176068059922323
Protein,1,2 pm – 5 pm,,0.159129154396298
Protein,1,5 pm – 8 pm,,0.195654041054711
Protein,1,6 am – 9 am,,0.162528216704289
Protein,1,8 pm – 10 pm,,0.148660084626234
Protein,1,9 am – 12 am,,0.15714954364615
Alc,2,10 pm – 6 am,,0.142738035684509
Alc,2,12 noon – 2 pm,,0.006026394080403
Alc,2,2 pm – 5 pm,,0.024229274025857
Alc,2,5 pm – 8 pm,,0.036769168521141
Alc,2,6 am – 9 am,,0.003031323678006
Alc,2,8 pm – 10 pm,,0.108381635845064
Alc,2,9 am – 12 am,,0.000826531666494
Carbohydrate,2,10 pm – 6 am,,0.469568117392029
Carbohydrate,2,12 noon – 2 pm,,0.472347242352582
Carbohydrate,2,2 pm – 5 pm,,0.486032004339572
Carbohydrate,2,5 pm – 8 pm,,0.441836941128869
Carbohydrate,2,6 am – 9 am,,0.603570225665207
Carbohydrate,2,8 pm – 10 pm,,0.437206734750207
Carbohydrate,2,9 am – 12 am,,0.545510899886352
Fat,2,10 pm – 6 am,,0.271469067867267
Fat,2,12 noon – 2 pm,,0.355633534213136
Fat,2,2 pm – 5 pm,,0.334508633939065
Fat,2,5 pm – 8 pm,,0.33309730932632
Fat,2,6 am – 9 am,,0.261704277534523
Fat,2,8 pm – 10 pm,,0.299567577514031
Fat,2,9 am – 12 am,,0.309639425560492
Protein,2,10 pm – 6 am,,0.116224779056195
Protein,2,12 noon – 2 pm,,0.165992829353879
Protein,2,2 pm – 5 pm,,0.155230087695507
Protein,2,5 pm – 8 pm,,0.18829658102367
Protein,2,6 am – 9 am,,0.131694173122263
Protein,2,8 pm – 10 pm,,0.154844051890698
Protein,2,9 am – 12 am,,0.144023142886662
Alc,3,10 pm – 6 am,,0.142092457420925
Alc,3,12 noon – 2 pm,,0.010509838998211
Alc,3,2 pm – 5 pm,,0.028407643312102
Alc,3,5 pm – 8 pm,,0.03972307822196
Alc,3,6 am – 9 am,,0.002583423035522
Alc,3,8 pm – 10 pm,,0.111136944896536
Alc,3,9 am – 12 am,,0.001607717041801
Carbohydrate,3,10 pm – 6 am,,0.498296836982968
Carbohydrate,3,12 noon – 2 pm,,0.461538461538462
Carbohydrate,3,2 pm – 5 pm,,0.50343949044586
Carbohydrate,3,5 pm – 8 pm,,0.424838532652286
Carbohydrate,3,6 am – 9 am,,0.652744886975242
Carbohydrate,3,8 pm – 10 pm,,0.440827714485003
Carbohydrate,3,9 am – 12 am,,0.561629153269025
Fat,3,10 pm – 6 am,,0.252068126520681
Fat,3,12 noon – 2 pm,,0.357837656529517
Fat,3,2 pm – 5 pm,,0.325222929936306
Fat,3,5 pm – 8 pm,,0.337371775929756
Fat,3,6 am – 9 am,,0.211087190527449
Fat,3,8 pm – 10 pm,,0.309695419669844
Fat,3,9 am – 12 am,,0.302384780278671
Protein,3,10 pm – 6 am,,0.107542579075426
Protein,3,12 noon – 2 pm,,0.17011404293381
Protein,3,2 pm – 5 pm,,0.142929936305732
Protein,3,5 pm – 8 pm,,0.198066613195998
Protein,3,6 am – 9 am,,0.133584499461787
Protein,3,8 pm – 10 pm,,0.138339920948617
Protein,3,9 am – 12 am,,0.134378349410504
