,Responses,Frequency,Percentage,Class 1 (30.8%),Class 2 (39.8%),Class 3 (29.5%)
6 am – 9 am,,,,,,
,Not eating,7655,31.2,0.129,0.45,0.32
,"Eating, Carbohydrate < 50%",4500,18.4,0.13,0.267,0.128
,"Eating, Carbohydrate >= 50%",12328,50.4,0.741,0.283,0.552
9 am – 12 am,,,,,,
,Not eating,5447,22.2,0.237,0.079,0.401
,"Eating, Carbohydrate < 50%",7227,29.5,0.158,0.492,0.173
,"Eating, Carbohydrate >= 50%",11809,48.2,0.605,0.429,0.426
12 noon – 2 pm,,,,,,
,Not eating,4783,19.5,0.156,0.356,0.019
,"Eating, Carbohydrate < 50%",11112,45.4,0.405,0.413,0.56
,"Eating, Carbohydrate >= 50%",8588,35.1,0.439,0.231,0.421
2 pm – 5 pm,,,,,,
,Not eating,6926,28.3,0.13,0.123,0.659
,"Eating, Carbohydrate < 50%",8277,33.8,0.249,0.602,0.076
,"Eating, Carbohydrate >= 50%",9280,37.9,0.621,0.276,0.266
5 pm – 8 pm,,,,,,
,Not eating,3043,12.4,0.114,0.199,0.034
,"Eating, Carbohydrate < 50%",14240,58.2,0.516,0.59,0.639
,"Eating, Carbohydrate >= 50%",7200,29.4,0.37,0.211,0.328
8 pm – 10 pm,,,,,,
,Not eating,8722,35.6,0.322,0.291,0.48
,"Eating, Carbohydrate < 50%",8898,36.3,0.266,0.551,0.212
,"Eating, Carbohydrate >= 50%",6863,28.0,0.412,0.158,0.308
10 pm – 6 am,,,,,,
,Not eating,16295,66.6,0.68,0.59,0.751
,"Eating, Carbohydrate < 50%",4144,16.9,0.074,0.294,0.101
,"Eating, Carbohydrate >= 50%",4044,16.5,0.246,0.115,0.148
